Earthquakes used: 293452
Non-empty cells (features): 9915

CUDA K-Means centroids:
Cluster 0 -> count_center=67.88, avgMag_center=4.79
Cluster 1 -> count_center=6.00, avgMag_center=4.80
Cluster 2 -> count_center=234.00, avgMag_center=4.80

========== TIMING RESULTS ==========
CUDA K-Means time (GPU only): 10.354 ms
Block size used:              128
====================================

Cluster ranking by activity:
Rank 0 -> Cluster 1 (quiet)
Rank 1 -> Cluster 0 (moderate)
Rank 2 -> Cluster 2 (hotspot)

Hotspot map (one line per non-empty cell):
lat_center,lon_center,count,avgMag,clusterId,clusterLabel
-79.500,41.500,1,4.600,1,quiet
-73.500,-135.500,1,4.600,1,quiet
-71.500,-126.500,1,5.000,1,quiet
-69.500,165.500,1,6.300,1,quiet
-65.500,-179.500,8,5.175,1,quiet
-65.500,-178.500,1,4.700,1,quiet
-65.500,-176.500,2,5.200,1,quiet
-65.500,-175.500,3,5.333,1,quiet
-65.500,-173.500,2,4.600,1,quiet
-65.500,-71.500,1,5.700,1,quiet
-65.500,175.500,1,4.700,1,quiet
-65.500,177.500,3,5.133,1,quiet
-65.500,178.500,9,4.767,1,quiet
-65.500,179.500,12,4.833,1,quiet
-64.500,-178.500,1,5.000,1,quiet
-64.500,-173.500,1,4.700,1,quiet
-64.500,-167.500,1,5.600,1,quiet
-64.500,173.500,1,4.800,1,quiet
-64.500,174.500,7,4.671,1,quiet
-64.500,175.500,12,4.767,1,quiet
-64.500,176.500,5,4.780,1,quiet
-64.500,177.500,8,4.750,1,quiet
-64.500,178.500,3,4.567,1,quiet
-64.500,179.500,1,4.900,1,quiet
-63.500,-167.500,1,4.600,1,quiet
-63.500,-166.500,3,4.900,1,quiet
-63.500,-165.500,1,5.000,1,quiet
-63.500,-164.500,1,5.500,1,quiet
-63.500,-163.500,3,5.467,1,quiet
-63.500,-162.500,1,5.200,1,quiet
-63.500,-160.500,1,5.400,1,quiet
-63.500,-157.500,1,5.200,1,quiet
-63.500,-156.500,1,5.400,1,quiet
-63.500,-63.500,2,4.850,1,quiet
-63.500,-61.500,1,4.900,1,quiet
-63.500,144.500,2,4.850,1,quiet
-63.500,145.500,1,5.800,1,quiet
-63.500,154.500,1,4.600,1,quiet
-63.500,166.500,2,4.800,1,quiet
-63.500,167.500,1,4.600,1,quiet
-63.500,168.500,3,4.767,1,quiet
-63.500,169.500,3,5.200,1,quiet
-63.500,170.500,3,5.133,1,quiet
-63.500,171.500,9,4.700,1,quiet
-63.500,172.500,7,4.714,1,quiet
-63.500,173.500,1,4.700,1,quiet
-63.500,174.500,2,4.550,1,quiet
-62.500,-164.500,1,4.500,1,quiet
-62.500,-163.500,2,4.950,1,quiet
-62.500,-162.500,1,5.000,1,quiet
-62.500,-161.500,9,5.122,1,quiet
-62.500,-160.500,3,4.600,1,quiet
-62.500,-159.500,3,4.767,1,quiet
-62.500,-158.500,23,4.791,1,quiet
-62.500,-157.500,6,4.717,1,quiet
-62.500,-155.500,2,5.150,1,quiet
-62.500,-154.500,1,4.500,1,quiet
-62.500,-62.500,1,4.500,1,quiet
-62.500,-61.500,2,4.900,1,quiet
-62.500,-59.500,1,4.800,1,quiet
-62.500,-58.500,113,4.793,0,moderate
-62.500,-57.500,5,4.880,1,quiet
-62.500,-56.500,8,4.737,1,quiet
-62.500,-54.500,1,4.900,1,quiet
-62.500,145.500,1,4.500,1,quiet
-62.500,146.500,1,4.600,1,quiet
-62.500,148.500,1,5.000,1,quiet
-62.500,151.500,1,4.800,1,quiet
-62.500,152.500,1,4.500,1,quiet
-62.500,153.500,1,4.700,1,quiet
-62.500,154.500,1,4.600,1,quiet
-62.500,155.500,12,5.150,1,quiet
-62.500,156.500,4,4.975,1,quiet
-62.500,160.500,2,4.850,1,quiet
-62.500,161.500,3,5.300,1,quiet
-62.500,162.500,2,5.150,1,quiet
-62.500,163.500,3,4.600,1,quiet
-62.500,164.500,4,4.875,1,quiet
-62.500,165.500,14,5.036,1,quiet
-62.500,166.500,3,5.233,1,quiet
-62.500,168.500,1,4.500,1,quiet
-61.500,-155.500,1,4.900,1,quiet
-61.500,-153.500,1,4.500,1,quiet
-61.500,-64.500,1,5.200,1,quiet
-61.500,-58.500,1,5.600,1,quiet
-61.500,-57.500,2,4.650,1,quiet
-61.500,-56.500,3,4.867,1,quiet
-61.500,-55.500,33,4.885,1,quiet
-61.500,-54.500,3,4.667,1,quiet
-61.500,-53.500,5,4.780,1,quiet
-61.500,-40.500,1,4.600,1,quiet
-61.500,-39.500,1,5.300,1,quiet
-61.500,-38.500,2,4.650,1,quiet
-61.500,-37.500,1,4.900,1,quiet
-61.500,-36.500,3,5.000,1,quiet
-61.500,-35.500,1,4.500,1,quiet
-61.500,-28.500,1,4.600,1,quiet
-61.500,-27.500,2,4.600,1,quiet
-61.500,-26.500,1,5.200,1,quiet
-61.500,-25.500,1,4.500,1,quiet
-61.500,-24.500,1,4.600,1,quiet
-61.500,-23.500,1,4.900,1,quiet
-61.500,153.500,7,4.971,1,quiet
-61.500,154.500,16,5.238,1,quiet
-61.500,155.500,4,4.650,1,quiet
-61.500,159.500,1,4.900,1,quiet
-61.500,160.500,6,4.850,1,quiet
-61.500,161.500,7,4.986,1,quiet
-61.500,162.500,2,4.750,1,quiet
-61.500,165.500,1,4.700,1,quiet
-61.500,166.500,1,4.500,1,quiet
-61.500,167.500,1,4.600,1,quiet
-61.500,170.500,1,4.500,1,quiet
-60.500,-148.500,1,4.900,1,quiet
-60.500,-62.500,16,4.875,1,quiet
-60.500,-61.500,18,5.056,1,quiet
-60.500,-60.500,1,4.900,1,quiet
-60.500,-57.500,2,4.750,1,quiet
-60.500,-54.500,1,4.700,1,quiet
-60.500,-51.500,9,4.833,1,quiet
-60.500,-50.500,5,4.860,1,quiet
-60.500,-49.500,2,4.600,1,quiet
-60.500,-48.500,5,4.760,1,quiet
-60.500,-47.500,16,4.725,1,quiet
-60.500,-46.500,8,4.788,1,quiet
-60.500,-45.500,3,4.833,1,quiet
-60.500,-44.500,3,4.600,1,quiet
-60.500,-42.500,2,5.050,1,quiet
-60.500,-41.500,5,4.680,1,quiet
-60.500,-40.500,2,4.600,1,quiet
-60.500,-38.500,5,5.460,1,quiet
-60.500,-37.500,2,5.000,1,quiet
-60.500,-36.500,2,4.700,1,quiet
-60.500,-35.500,1,5.300,1,quiet
-60.500,-34.500,4,4.750,1,quiet
-60.500,-33.500,5,4.980,1,quiet
-60.500,-32.500,3,4.600,1,quiet
-60.500,-31.500,3,5.033,1,quiet
-60.500,-30.500,3,4.833,1,quiet
-60.500,-29.500,5,4.600,1,quiet
-60.500,-28.500,20,4.825,1,quiet
-60.500,-27.500,72,4.822,0,moderate
-60.500,-26.500,128,4.838,0,moderate
-60.500,-25.500,69,4.807,0,moderate
-60.500,-24.500,48,4.823,0,moderate
-60.500,-23.500,8,4.938,1,quiet
-60.500,-22.500,3,4.600,1,quiet
-60.500,-20.500,5,5.480,1,quiet
-60.500,-19.500,8,4.800,1,quiet
-60.500,-18.500,8,4.888,1,quiet
-60.500,150.500,4,5.525,1,quiet
-60.500,151.500,1,4.700,1,quiet
-60.500,152.500,2,4.550,1,quiet
-60.500,153.500,4,5.125,1,quiet
-60.500,154.500,3,5.767,1,quiet
-60.500,155.500,1,4.900,1,quiet
-60.500,159.500,4,4.725,1,quiet
-60.500,160.500,2,5.800,1,quiet
-59.500,-151.500,11,4.791,1,quiet
-59.500,-150.500,5,5.180,1,quiet
-59.500,-148.500,1,4.600,1,quiet
-59.500,-76.500,1,4.900,1,quiet
-59.500,-62.500,2,4.700,1,quiet
-59.500,-61.500,6,5.083,1,quiet
-59.500,-60.500,4,4.800,1,quiet
-59.500,-58.500,1,5.000,1,quiet
-59.500,-50.500,1,4.500,1,quiet
-59.500,-30.500,1,4.700,1,quiet
-59.500,-29.500,23,4.948,1,quiet
-59.500,-28.500,8,4.925,1,quiet
