KMeans_ms 1 process: 0.895ms
										
Total lines processed: 293458					
Non-empty cells: 9915					
					
Cluster centroids (count	avgMag):				
Cluster 0: 11.86 4.92					
Cluster 1: 183.90 4.90					
Cluster 2: 640.09 4.92					
					
Cluster ranking:					
Rank 0: Cluster 0 (quiet)					
Rank 1: Cluster 1 (moderate)					
Rank 2: Cluster 2 (hotspot)					
					
Hotspot map:					
lat	lon	count	avgMag	cluster	label
-84.5	132.5	1	4.6	0	quiet
-83.5	132.5	1	4.5	0	quiet
-82.5	-43.5	1	4.7	0	quiet
-79.5	41.5	1	4.6	0	quiet
-77.5	-149.5	1	4.8	0	quiet
-77.5	-148.5	2	5.1	0	quiet
-76.5	164.5	1	5.1	0	quiet
-73.5	-135.5	3	4.7	0	quiet
-72.5	174.5	1	5.5	0	quiet
-71.5	-116.5	1	4.5	0	quiet
-71.5	-104.5	1	4.8	0	quiet
-71.5	-96.5	1	4.5	0	quiet
-71.5	167.5	1	4.5	0	quiet
-70.5	-114.5	1	5.3	0	quiet
-70.5	161.5	1	4.9	0	quiet
-69.5	-110.5	1	5.2	0	quiet
-69.5	157.5	1	5.95	0	quiet
-69.5	165.5	1	6.3	0	quiet
-68.5	-111.5	1	5.2	0	quiet
-68.5	163.5	1	4.9	0	quiet
-68.5	170.5	1	5	0	quiet
-67.5	111.5	1	5.7	0	quiet
-67.5	112.5	4	4.9	0	quiet
-67.5	113.5	1	5.1	0	quiet
-66.5	-82.5	1	6.2	0	quiet
-66.5	-79.5	1	5.1	0	quiet
-65.5	-179.5	12	5.3	0	quiet
-65.5	-178.5	3	5.407	0	quiet
-65.5	-177.5	3	5.6	0	quiet
-65.5	-176.5	7	4.957	0	quiet
-65.5	-175.5	6	5.2	0	quiet
-65.5	-174.5	3	4.667	0	quiet
-65.5	-173.5	4	4.65	0	quiet
-65.5	-73.5	1	4.7	0	quiet
-65.5	-71.5	1	5.7	0	quiet
-65.5	44.5	1	4.6	0	quiet
-65.5	81.5	1	4.9	0	quiet
-65.5	133.5	7	4.886	0	quiet
-65.5	134.5	1	4.6	0	quiet
-65.5	171.5	1	5.1	0	quiet
-65.5	175.5	1	4.7	0	quiet
-65.5	176.5	2	4.5	0	quiet
-65.5	177.5	13	4.923	0	quiet
-65.5	178.5	19	4.926	0	quiet
-65.5	179.5	37	5.022	0	quiet
-64.5	-178.5	2	4.8	0	quiet
-64.5	-175.5	1	4.5	0	quiet
-64.5	-173.5	1	4.7	0	quiet
-64.5	-170.5	3	4.967	0	quiet
-64.5	-169.5	1	5.3	0	quiet
-64.5	-167.5	1	5.6	0	quiet
-64.5	-69.5	1	4.7	0	quiet
-64.5	154.5	1	4.8	0	quiet
-64.5	159.5	1	5.56	0	quiet
-64.5	172.5	1	5.4	0	quiet
-64.5	173.5	5	4.7	0	quiet
-64.5	174.5	8	4.662	0	quiet
-64.5	175.5	25	4.88	0	quiet
-64.5	176.5	17	4.906	0	quiet
-64.5	177.5	17	4.953	0	quiet
-64.5	178.5	6	4.633	0	quiet
-64.5	179.5	1	4.9	0	quiet
-63.5	-175.5	1	4.8	0	quiet
-63.5	-168.5	1	4.6	0	quiet
-63.5	-167.5	6	5.282	0	quiet
-63.5	-166.5	12	5.158	0	quiet
-63.5	-165.5	3	5.067	0	quiet
-63.5	-164.5	11	5.155	0	quiet
-63.5	-163.5	4	5.627	0	quiet
-63.5	-162.5	2	4.9	0	quiet
-63.5	-160.5	1	5.4	0	quiet
-63.5	-159.5	2	5	0	quiet
-63.5	-158.5	1	5.6	0	quiet
-63.5	-157.5	3	5.4	0	quiet
-63.5	-156.5	2	5.6	0	quiet
-63.5	-63.5	2	4.85	0	quiet
-63.5	-62.5	3	5.4	0	quiet
-63.5	-61.5	5	5.578	0	quiet
-63.5	-60.5	2	5.4	0	quiet
-63.5	-33.5	1	4.7	0	quiet
-63.5	-22.5	1	6.14	0	quiet
-63.5	144.5	3	4.8	0	quiet
-63.5	145.5	1	5.8	0	quiet
-63.5	147.5	5	5.58	0	quiet
-63.5	148.5	4	4.825	0	quiet
-63.5	149.5	2	4.6	0	quiet
-63.5	150.5	3	4.8	0	quiet
-63.5	152.5	1	4.7	0	quiet
-63.5	154.5	1	4.6	0	quiet
-63.5	162.5	1	4.6	0	quiet
-63.5	166.5	2	4.8	0	quiet
-63.5	167.5	1	4.6	0	quiet
-63.5	168.5	4	4.725	0	quiet
-63.5	169.5	12	5.325	0	quiet
-63.5	170.5	22	4.923	0	quiet
-63.5	171.5	16	4.85	0	quiet
-63.5	172.5	22	4.914	0	quiet
-63.5	173.5	3	4.833	0	quiet
-63.5	174.5	1	4.6	0	quiet
-62.5	-164.5	9	4.889	0	quiet
-62.5	-163.5	3	4.8	0	quiet
-62.5	-162.5	2	4.8	0	quiet
-62.5	-161.5	22	5.182	0	quiet
-62.5	-160.5	8	5.087	0	quiet
-62.5	-159.5	5	4.94	0	quiet
-62.5	-158.5	45	4.88	0	quiet
-62.5	-157.5	10	4.83	0	quiet
-62.5	-155.5	5	5.22	0	quiet
-62.5	-154.5	2	4.9	0	quiet
-62.5	-72.5	1	5.1	0	quiet
-62.5	-65.5	1	5.9	0	quiet
-62.5	-62.5	4	4.725	0	quiet
-62.5	-61.5	5	5.02	0	quiet
-62.5	-60.5	4	4.8	0	quiet
-62.5	-59.5	6	4.783	0	quiet
-62.5	-58.5	114	4.792	1	moderate
-62.5	-57.5	9	4.844	0	quiet
-62.5	-56.5	20	4.83	0	quiet
-62.5	-55.5	4	4.875	0	quiet
-62.5	-54.5	1	4.9	0	quiet
-62.5	46.5	2	4.85	0	quiet
-62.5	144.5	5	4.66	0	quiet
-62.5	145.5	13	4.962	0	quiet
-62.5	146.5	3	4.6	0	quiet
-62.5	147.5	2	5.1	0	quiet
-62.5	148.5	4	4.725	0	quiet
-62.5	149.5	2	6.3	0	quiet
-62.5	150.5	1	4.9	0	quiet
-62.5	151.5	5	4.7	0	quiet
-62.5	152.5	1	4.5	0	quiet
-62.5	153.5	4	5.217	0	quiet
-62.5	154.5	12	5.192	0	quiet
-62.5	155.5	42	5.394	0	quiet
-62.5	156.5	8	4.987	0	quiet
-62.5	157.5	1	4.7	0	quiet
-62.5	158.5	1	5.2	0	quiet
-62.5	160.5	3	5	0	quiet
-62.5	161.5	3	5.6	0	quiet
-62.5	162.5	3	5.333	0	quiet
-62.5	163.5	5	4.98	0	quiet
-62.5	164.5	26	5.023	0	quiet
-62.5	165.5	35	5.094	0	quiet
-62.5	166.5	8	5.45	0	quiet
-62.5	167.5	6	5.415	0	quiet
-62.5	168.5	4	4.925	0	quiet
-62.5	170.5	3	4.733	0	quiet
-62.5	171.5	1	5.1	0	quiet
-61.5	-161.5	2	5.1	0	quiet
-61.5	-155.5	2	4.7	0	quiet
-61.5	-153.5	1	4.5	0	quiet
-61.5	-67.5	2	5.05	0	quiet
-61.5	-66.5	1	5.1	0	quiet
-61.5	-65.5	1	4.7	0	quiet
-61.5	-64.5	1	5.2	0	quiet
-61.5	-62.5	1	5	0	quiet
-61.5	-59.5	1	5	0	quiet
-61.5	-58.5	5	4.98	0	quiet
-61.5	-57.5	4	4.675	0	quiet
-61.5	-56.5	12	5	0	quiet
-61.5	-55.5	37	4.914	0	quiet
-61.5	-54.5	8	4.725	0	quiet
-61.5	-53.5	9	4.811	0	quiet
-61.5	-52.5	2	4.9	0	quiet
-61.5	-51.5	1	5	0	quiet
-61.5	-45.5	1	4.5	0	quiet
-61.5	-42.5	1	4.8	0	quiet
-61.5	-40.5	1	4.6	0	quiet
-61.5	-39.5	1	5.3	0	quiet
-61.5	-38.5	2	4.65	0	quiet
-61.5	-37.5	3	5.467	0	quiet
-61.5	-36.5	4	4.925	0	quiet
-61.5	-35.5	3	4.767	0	quiet
-61.5	-34.5	3	5.733	0	quiet
-61.5	-33.5	2	4.9	0	quiet
-61.5	-29.5	1	6.2	0	quiet
-61.5	-28.5	1	4.6	0	quiet
-61.5	-27.5	2	4.6	0	quiet
-61.5	-26.5	2	4.85	0	quiet
-61.5	-25.5	6	4.767	0	quiet
-61.5	-24.5	4	4.675	0	quiet
-61.5	-23.5	3	4.767	0	quiet
-61.5	-22.5	4	5.508	0	quiet
-61.5	-21.5	1	4.7	0	quiet
-61.5	46.5	1	5	0	quiet
-61.5	150.5	1	6.34	0	quiet
-61.5	151.5	1	5.2	0	quiet
-61.5	152.5	1	4.6	0	quiet
-61.5	153.5	27	5.011	0	quiet
-61.5	154.5	62	5.302	0	quiet
-61.5	155.5	13	5.151	0	quiet
-61.5	156.5	1	4.6	0	quiet
-61.5	159.5	5	4.8	0	quiet
-61.5	160.5	17	5.161	0	quiet
-61.5	161.5	20	5.11	0	quiet
-61.5	162.5	3	4.8	0	quiet
-61.5	163.5	2	5.35	0	quiet
