Total lines processed: 293452
Non-empty cells: 9915

Cluster centroids (count, avgMag):
• Cluster 0: count_center=11.86, avgMag_center=4.92
• Cluster 1: count_center=183.90, avgMag_center=4.90
• Cluster 2: count_center=640.09, avgMag_center=4.92

========================================================
Pthreads K-Means execution time with 2 threads: 4.023 ms
========================================================

Cluster ranking by activity:
• Rank 0: Cluster 0 (quiet)
• Rank 1: Cluster 1 (moderate)
• Rank 2: Cluster 2 (hotspot)

Hotspot map (one line per non-empty cell):
lat_center,lon_center,count,avgMag,clusterId,clusterLabel
-84.500,132.500,1,4.600,0,quiet
-83.500,132.500,1,4.500,0,quiet
-82.500,-43.500,1,4.700,0,quiet
-79.500,41.500,1,4.600,0,quiet
-77.500,-149.500,1,4.800,0,quiet
-77.500,-148.500,2,5.100,0,quiet
-76.500,164.500,1,5.100,0,quiet
-73.500,-135.500,3,4.700,0,quiet
-72.500,174.500,1,5.500,0,quiet
-71.500,-116.500,1,4.500,0,quiet
-71.500,-104.500,1,4.800,0,quiet
-71.500,-96.500,1,4.500,0,quiet
-71.500,167.500,1,4.500,0,quiet
-70.500,-114.500,1,5.300,0,quiet
-70.500,161.500,1,4.900,0,quiet
-69.500,-110.500,1,5.200,0,quiet
-69.500,157.500,1,5.950,0,quiet
-69.500,165.500,1,6.300,0,quiet
-68.500,-111.500,1,5.200,0,quiet
-68.500,163.500,1,4.900,0,quiet
-68.500,170.500,1,5.000,0,quiet
-67.500,111.500,1,5.700,0,quiet
-67.500,112.500,4,4.900,0,quiet
-67.500,113.500,1,5.100,0,quiet
-66.500,-82.500,1,6.200,0,quiet
-66.500,-79.500,1,5.100,0,quiet
-65.500,-179.500,12,5.300,0,quiet
-65.500,-178.500,3,5.407,0,quiet
-65.500,-177.500,3,5.600,0,quiet
-65.500,-176.500,7,4.957,0,quiet
-65.500,-175.500,6,5.200,0,quiet
-65.500,-174.500,3,4.667,0,quiet
-65.500,-173.500,4,4.650,0,quiet
-65.500,-73.500,1,4.700,0,quiet
-65.500,-71.500,1,5.700,0,quiet
-65.500,44.500,1,4.600,0,quiet
-65.500,81.500,1,4.900,0,quiet
-65.500,133.500,7,4.886,0,quiet
-65.500,134.500,1,4.600,0,quiet
-65.500,171.500,1,5.100,0,quiet
-65.500,175.500,1,4.700,0,quiet
